file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Mini Mental State Exam,MMSE,Visit,VISCODE2,VISCODE,,<class 'str'>,"sc, m06, m36, m60, m72",None,11846.0,2.0,,keep,,,,,
Mini Mental State Exam,MMSE,Other,update_stamp,update_stamp,,<class 'str'>,"2024-08-22 07:18:34.0, 2017-10-26 14:26:33.0, 2006-09-06 00:00:00.0, 2008-09-10 00:00:00.0, 2009-10-16 00:00:00.0",None,11848.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,,,VISIT_MONTH,,<class 'numpy.float64'>,None,"232.0, 0.0",11845.0,3.0,,keep,,,,,
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,,<class 'str'>,ADNI1,,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,ID,RID,RID,,<class 'numpy.int64'>,,"1427.0, 2.0",2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-09-29, 2006-03-06, 2008-08-27, 2005-09-30, 2006-03-09",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,,,VISIT_MONTH,,<class 'numpy.int64'>,,"88.0, 0.0",2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,Diagnosi,['DIAGNOSIS'],DX/CN,,<class 'numpy.bool'>,"True, False",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,Diagnosi,['DIAGNOSIS'],DX/Dementia,,<class 'numpy.bool'>,"False, True",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
Diagnostic Summary,DXSUM,Diagnosi,['DIAGNOSIS'],DX/MCI,,<class 'numpy.bool'>,"False, True",,2697.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,ID,RID,RID,,<class 'numpy.int64'>,,"1387.0, 15.0",407.0,0.0,pop not found,keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,VISCODE,VISCODE,,<class 'str'>,"bl, m06, m12, m24, m36, m18",,407.0,0.0,pop not found,keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-10-31, 2006-05-02, 2006-10-16, 2007-10-11, 2009-04-27",,407.0,0.0,pop not found,keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Other,IMAGEUID,IMAGEUID,,<class 'numpy.int64'>,,"205567.0, 32755.0",407.0,0.0,pop not found,keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Other,STATUS,STATUS,,<class 'str'>,partial,,407.0,0.0,pop not found,keep,,,,,
UCSF - ADNI-1 3T Cross-Sectional FreeSurfer (5.1) [ADNI1],UCSFFSX51_ADNI1_3T,Volume,ST37SV,LVentricles,mm3,<class 'numpy.float64'>,,"83251.0, 3549.0",395.0,12.0,pop not found,keep,predittore,volume,,,
