file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,C2N_PRECIVITYAD2_PLASMA,,AB42_AB40_C2N,AB4240_PL,,<class 'numpy.float64'>,,"0.694, 0.072",668.0,8.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,pT217_npT217_C2N,PT217_nPT217_PL,,<class 'numpy.float64'>,,"27.76, 0.55",672.0,4.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,APOE_C2N,APOE,,<class 'str'>,"E3/E3, E3/E4, E2/E3, E4/E4, E2/E4, E2/E2, nan",,675.0,1.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,Comments,COMMENTS,,<class 'str'>,"nan, p-tau217 LOD, Sample Corrected for Dilution p-tau, p-tau217 LOD; Contaminant present Abeta, p-tau217 LOD; Sample Corrected for Dilution p-tau",,439.0,237.0,"ADNI1, ADNIGO, ADNI2, ADNI3",drop,,,,
,C2N_PRECIVITYAD2_PLASMA,,,VISIT_MONTH,,<class 'numpy.int64'>,"0, 12, 11, 13, 15","15.0, 0.0",676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,,METHOD,,<class 'str'>,massospectrometry,,676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,,Apositive,,<class 'numpy.int64'>,"1, <NA>, 0","1.0, 0.0",668.0,8.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,,Tpositive,,<class 'numpy.int64'>,"0, <NA>","0.0, 0.0",673.0,3.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,,VISIT_MONTH,,,,,,,,,,,,
,C2N_PRECIVITYAD2_PLASMA,,,METHOD,,,,,,,,,,,,
,C2N_PRECIVITYAD2_PLASMA,,,VISIT_MONTH,,,,,,,,,,,,
,C2N_PRECIVITYAD2_PLASMA,,,METHOD,,,,,,,,,,,,
,UGOTPTAU181,,RID,RID,,<class 'numpy.int64'>,,"5296.0, 2.0",3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,VISCODE2,VISCODE,,<class 'str'>,"m60, m72, m84, m96, m108",,3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,PLASMAPTAU181,PT181_PL,,<class 'numpy.float64'>,,"451.398, 0.362",3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,,VISIT_MONTH,,<class 'numpy.int64'>,,"96.0, 0.0",3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,,METHOD,,<class 'str'>,simoa,,3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,,Tpositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",3706.0,0.0,pop not found,keep,,,,
,UGOTPTAU181,,,VISIT_MONTH,,,,,,,,,,,,
,UGOTPTAU181,,,METHOD,,,,,,,,,,,,
,UGOTPTAU181,,,VISIT_MONTH,,,,,,,,,,,,
,UGOTPTAU181,,,METHOD,,,,,,,,,,,,
,UGOTPTAU181,,,VISIT_MONTH,,,,,,,,,,,,
,UGOTPTAU181,,,METHOD,,,,,,,,,,,,
,UPENNPLASMA,,RID,RID,,<class 'numpy.int64'>,,"1427.0, 2.0",2432.0,0.0,pop not found,keep,,,,
,UPENNPLASMA,,VISCODE,VISCODE,,<class 'str'>,"bl, m12, m24, m36, m48, m06, m18",,2432.0,0.0,pop not found,keep,,,,
,UPENNPLASMA,,AB40,AB40_PL,,<class 'numpy.float64'>,,"371.8, 12.6",2420.0,12.0,pop not found,keep,,,,
,UPENNPLASMA,,AB42,AB42_PL,,<class 'numpy.float64'>,,"102.8, 3.5",2429.0,3.0,pop not found,keep,,,,
,UPENNPLASMA,,,VISIT_MONTH,,<class 'numpy.int64'>,"0, 12, 24, 36, 48, 6, 18","48.0, 0.0",2432.0,0.0,pop not found,keep,,,,
,UPENNPLASMA,,,METHOD,,<class 'str'>,unknown,,2432.0,0.0,pop not found,keep,,,,
,UPENNPLASMA,,,Apositive,,<class 'numpy.int64'>,"1, <NA>","1.0, 1.0",2429.0,3.0,pop not found,keep,,,,
,UPENNPLASMA,,,VISIT_MONTH,,,,,,,,,,,,
,UPENNPLASMA,,,METHOD,,,,,,,,,,,,
,UPENNPLASMA,,,VISIT_MONTH,,,,,,,,,,,,
,UPENNPLASMA,,,METHOD,,,,,,,,,,,,
,UPENNPLASMA,,,VISIT_MONTH,,,,,,,,,,,,
,UPENNPLASMA,,,METHOD,,,,,,,,,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNI2, ADNI4, ADNI3, ADNIGO",,1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,RID,RID,,<class 'numpy.int64'>,,"10470.0, 2.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,VISCODE2,VISCODE,,<class 'str'>,"bl, m120, m24, m48, m96",,1726.0,2.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,pT217_F,PT217_PL,,<class 'numpy.float64'>,,"5.555, 0.03",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB42_F,AB42_PL,,<class 'numpy.float64'>,,"1000.0, 2.25",1722.0,6.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB40_F,AB40_PL,,<class 'numpy.float64'>,,"5000.0, 26.89",1723.0,5.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB42_AB40_F,AB4240_PL,,<class 'numpy.float64'>,,"0.6631, 0.0098",1722.0,6.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,pT217_AB42_F,PT217_AB42_PL,,<class 'numpy.float64'>,,"0.215060008, 0.00074",1722.0,6.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,NfL_Q,NFL_PL,,<class 'numpy.float64'>,,"278.0, -5.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,GFAP_Q,GFAP,,<class 'numpy.float64'>,,"1783.0, -5.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,VISIT_MONTH,,<class 'numpy.int64'>,,"227.0, 0.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,METHOD,,<class 'str'>,quanterix,,1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,Apositive,,<class 'numpy.int64'>,"1, <NA>, 0","1.0, 0.0",1722.0,6.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,Tpositive,,<class 'numpy.int64'>,0,"0.0, 0.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,Npositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",1728.0,0.0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,VISIT_MONTH,,,,,,,,,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,METHOD,,,,,,,,,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,VISIT_MONTH,,,,,,,,,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,,METHOD,,,,,,,,,,,,
,UCBERKELEY_TAU_6MM,,RID,RID,,<class 'numpy.int64'>,,"10875.0, 21.0",2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,VISCODE2,VISCODE,,<class 'str'>,"m144, m228, m150, m162, m156",,2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,TRACER_SUVR_WARNING,WARNING,,<class 'str'>,DO NOT COMPARE SUVRs ACROSS TRACERS,,2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_ENTORHINAL_SUVR,ENTORHINAL_SUVR,,<class 'numpy.float64'>,,"3.398, 0.674",2315.0,0.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CSF_SUVR,CSF_SUVR,,<class 'numpy.float64'>,,"1.629, 0.451",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_FUSIFORM_SUVR,FUSIFORM_SUVR,,<class 'numpy.float64'>,,"4.095, 0.8",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORPARIETAL_SUVR,INFERIORPARIETAL_SUVR,,<class 'numpy.float64'>,,"4.384, 0.807",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_INFERIORTEMPORAL_SUVR,INFERIOR_TEMPORAL_SUVR,,<class 'numpy.float64'>,,"4.528, 0.803",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_LATERALOCCIPITAL_SUVR,LATERALOCCIPITAL_SUVR,,<class 'numpy.float64'>,,"5.025, 0.853",2224.0,91.0,pop not found,keep,,,,
,UCBERKELEY_TAU_6MM,,CTX_MIDDLETEMPORAL_SUVR,MIDDLETEMPORAL_SUVR,,<class 'numpy.float64'>,,"4.0, 0.793",2224.0,91.0,pop not found,keep,,,,
