file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,subj_tot,subj_multiple_visits,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Asian,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Black,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Race'],RACE/White,,<class 'numpy.bool'>,"True, False",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/CN,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/Dementia,,<class 'numpy.bool'>,"True, False",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/MCI,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI4, ADNI3",,4920.0,843.0,5983.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,,<class 'numpy.int64'>,,"10898.0, 1.0",4920.0,843.0,5983.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,EXAMDATE,,<class 'str'>,"2005-08-17, 2010-09-22, 2011-09-19, 2005-08-18, 2005-08-23",,4917.0,843.0,5980.0,3.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,,<class 'numpy.float64'>,,"20.0, 3.0",4900.0,839.0,5958.0,25.0,,keep,cofattore,,,,
Participant Demographics,PTDEMOG,Visit,VISCODE2,VISCODE,,<class 'str'>,"sc, m72, f, m228, m60",,4919.0,841.0,5980.0,3.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,,<class 'numpy.float64'>,,"226.0, 0.0",4917.0,843.0,5980.0,3.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,,,AGE,,<class 'numpy.float64'>,,"104.0, 50.0",4915.0,843.0,5978.0,5.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,,,AGE_AD_BEG,,<class 'numpy.float64'>,,"91.0, -1936.0",378.0,0.0,378.0,5605.0,"ADNI2, ADNI3, ADNI4",drop,,,,,
Participant Demographic Information,PTDEMOG,,,AGE_AD_DX,,<class 'numpy.float64'>,,"93.0, 15.0",509.0,14.0,523.0,5460.0,"ADNI1, ADNIGO",drop,,,,,
Participant Demographic Information,PTDEMOG,,,AGE_COG_BEG,,<class 'numpy.float64'>,,"90.0, 26.0",2239.0,319.0,2568.0,3415.0,ADNI1,drop,,,,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",,4920.0,843.0,5983.0,0.0,,keep,cofattore,,,,
