file_name,file_code,parameter,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del
Diagnostic Summary,DXSUM,ID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 011_S_0005, 011_S_0008, 022_S_0007",,15242.0,0.0,,0.0
Diagnostic Summary,DXSUM,Cohort,PHASE,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,15242.0,0.0,,0.0
Diagnostic Summary,DXSUM,ID,RID,<class 'numpy.int64'>,,"10813.0, 2.0",15242.0,0.0,,0.0
Diagnostic Summary,DXSUM,Visit,EXAMDATE,<class 'str'>,"2005-09-29, 2005-09-30, 2005-10-06, 2005-10-18, 2005-10-20",,15144.0,98.0,,0.0
Diagnostic Summary,DXSUM,Other,DXNORM,<class 'numpy.float64'>,"1.0, -4.0, nan","1.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXNODEP,<class 'numpy.float64'>,"-4.0, 1.0, nan","1.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXMCI,<class 'numpy.float64'>,"-4.0, 1.0, nan","1.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXMDES,<class 'str'>,"-4, 1, 1|02, 2, 1|2, nan",,11770.0,3472.0,,0.0
Diagnostic Summary,DXSUM,Other,DXMPTR1,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, nan","1.0, -4.0",8517.0,6725.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMPTR2,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, nan","1.0, -4.0",8504.0,6738.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMPTR3,<class 'numpy.float64'>,"-4.0, 1.0, 2.0, 0.0, nan","2.0, -4.0",8510.0,6732.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMPTR4,<class 'numpy.float64'>,"-4.0, 1.0, 2.0, 0.0, nan","2.0, -4.0",8516.0,6726.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMPTR5,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, nan","1.0, -4.0",8510.0,6732.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMPTR6,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, nan","1.0, -4.0",8512.0,6730.0,,1.0
Diagnostic Summary,DXSUM,Diagnosi,DXMDUE,<class 'numpy.float64'>,"-4.0, 1.0, 2.0, nan","2.0, -4.0",8552.0,6690.0,,1.0
Diagnostic Summary,DXSUM,Other,DXMOTHET,<class 'str'>,"-4, 9, 14, 1, 9|14",,10215.0,5027.0,,0.0
Diagnostic Summary,DXSUM,Diagnosi,DXAD,<class 'numpy.float64'>,"-4.0, 1.0, nan","1.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXAPP,<class 'numpy.float64'>,"-4.0, 1.0, 2.0, nan","2.0, -4.0",5546.0,9696.0,,1.0
Diagnostic Summary,DXSUM,Other,DXAPROB,<class 'str'>,"-4, 1, 3, 2, 5",,3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXAPOSS,<class 'str'>,"-4, 3, 1|03|05, 7, 3|06",,10046.0,5196.0,,0.0
Diagnostic Summary,DXSUM,Other,DXPARK,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, nan","1.0, -4.0",15098.0,144.0,,0.0
Diagnostic Summary,DXSUM,Other,DXPDES,<class 'numpy.float64'>,"-4.0, 3.0, 4.0, nan","4.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXPATYP,<class 'numpy.float64'>,"-4.0, 7.0, 5.0, nan","7.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXOTHDEM,<class 'numpy.float64'>,"-4.0, 1.0, nan","1.0, -4.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Other,DXODES,<class 'numpy.float64'>,"-4.0, 14.0, 1.0, nan, 4.0, 12.0, 6.0, 9.0","14.0, -4.0",3912.0,11330.0,,1.0
Diagnostic Summary,DXSUM,Diagnosi,DXCONFID,<class 'numpy.float64'>,"4.0, 3.0, 1.0, 2.0, nan","4.0, 1.0",3868.0,11374.0,"ADNIGO, ADNI2, ADNI3, ADNI4",1.0
Diagnostic Summary,DXSUM,Visit,VISCODE2,<class 'str'>,"bl, m06, m12, uns1, m36",,15227.0,15.0,,0.0
Diagnostic Summary,DXSUM,Other,DXDSEV,<class 'numpy.float64'>,"-4.0, 2.0, 1.0, 3.0, nan","3.0, -4.0",5639.0,9603.0,,1.0
Diagnostic Summary,DXSUM,Diagnosi,DIAGNOSIS,<class 'numpy.float64'>,"1.0, 3.0, 2.0, nan","3.0, 1.0",15203.0,39.0,,0.0
