file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,Metadati_fattori
Diagnostic Summary,DXSUM,Diagnosi,DXAD,DXAD,<class 'numpy.float64'>,"nan, 1.0",None,20.0,2731.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXAPP,DXAPP,<class 'numpy.float64'>,"nan, 2.0, 1.0",None,20.0,2731.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXAPROB,DXAPROB,<class 'str'>,"nan, 1, 3, 1|03, 5",None,19.0,2732.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXAPOSS,DXAPOSS,<class 'str'>,"nan, 3",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXPARK,DXPARK,<class 'numpy.float64'>,"nan, 1.0",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXPDES,DXPDES,<class 'numpy.float64'>,"nan, 4.0",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXPATYP,DXPATYP,<class 'numpy.float64'>,"nan, 7.0",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXOTHDEM,DXOTHDEM,<class 'numpy.float64'>,"nan, 1.0",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXODES,DXODES,<class 'numpy.float64'>,"nan, 1.0",None,1.0,2750.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Diagnosi,DXCONFID,DXCONFID,<class 'numpy.float64'>,"4.0, 3.0, 1.0, 2.0",None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,predittore
Diagnostic Summary,DXSUM,Visit,VISCODE2,VISCODE,<class 'numpy.int64'>,"0, 6, 12, 36, 18, 24, 48",None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,
Diagnostic Summary,DXSUM,Other,DXDSEV,DXDSEV,<class 'numpy.float64'>,"nan, 1.0, 2.0, 3.0",None,20.0,2731.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Diagnosi,DIAGNOSIS,DIAGNOSIS,<class 'numpy.int64'>,"0, 1, 2",None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,predittore
