file_name,file_code,parameter,orig_variable_code,variable_code,Unità,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 4
Diagnostic Summary - Baseline Changes,BLCHANGE,ADAS,BCADAS,ADAS,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9408.0,24.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSE,MMSE,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9426.0,6.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCMMSREC,MMSREC,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9424.0,8.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,MMSE,BCNMMMS,BCNMMMS,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9421.0,11.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNEUPSY,BCNEUPSY,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9414.0,18.0,,False,predittore,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCNONMEM,BCNONMEM,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9413.0,19.0,,False,predittore,,
Diagnostic Summary - Baseline Changes,BLCHANGE,FAQ,BCFAQ,FAQ,,<class 'numpy.float64'>,"0.0, 1.0, nan, -1.0","1.0, -1.0",9399.0,33.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,BCDEPRES,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9428.0,4.0,,False,predittore,,
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,BCSTROKE,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",9431.0,1.0,,False,predittore,,
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,CDR,,<class 'numpy.float64'>,"1.0, 0.0, nan, -1.0","1.0, -1.0",9377.0,55.0,,False,predittore,scala,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,VISIT_MONTH,,<class 'numpy.float64'>,,"225.0, 0.0",9431.0,1.0,,False,,,
Diagnostic Summary - Baseline Changes,BLCHANGE,,,VISIT_MONTH,,,,,,,,,,,
Participant Demographic Information,PTDEMOG,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 022_S_0001, 011_S_0003, 022_S_0004, 011_S_0005",,5983.0,0.0,,False,,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI4, ADNI3",,5983.0,0.0,,False,,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,,<class 'numpy.int64'>,,"10898.0, 1.0",5983.0,0.0,,False,,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,VISDATE,,<class 'datetime.date'>,,,5980.0,3.0,,False,,,
Participant Demographic Information,PTDEMOG,Sex,PTGENDER,GENDER,,<class 'numpy.int64'>,"1, 0, <NA>","1.0, 0.0",5982.0,1.0,,False,,,
Participant Demographic Information,PTDEMOG,Age,PTDOB,PTDOB,,<class 'str'>,"04/1931, 12/1944, 05/1924, 01/1938, 12/1931",,5980.0,3.0,,False,,,
Participant Demographic Information,PTDEMOG,Marry,PTMARRY,MARRY,,<class 'numpy.int64'>,"1, 2, 3, 0, <NA>","3.0, 0.0",5910.0,73.0,,False,cofattore,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,,<class 'numpy.float64'>,,"20.0, 3.0",5958.0,25.0,,False,cofattore,,
Participant Demographic Information,PTDEMOG,Other,PTADBEG,PTADBEG,,<class 'numpy.float64'>,,"2010.0, -1.0",378.0,5605.0,"ADNI2, ADNI3, ADNI4",True,cofattore,,
Participant Demographic Information,PTDEMOG,Ethnicity,PTETHCAT,ETHNICITY,,<class 'numpy.int64'>,"0, <NA>, 1","1.0, 0.0",5924.0,59.0,,False,cofattore,,
Participant Demographic Information,PTDEMOG,Ethnicity,PTRACCAT,RACE,,<class 'numpy.int64'>,"5, <NA>, 0, 4, 2, 1, 3","5.0, 0.0",5866.0,117.0,,False,cofattore,,
Participant Demographics,PTDEMOG,Age,PTDOBYY,PTDOBYY,,<class 'numpy.float64'>,,"1971.0, 1915.0",5980.0,3.0,,False,cofattore,,
Participant Demographics,PTDEMOG,Other,PTCOGBEG,PTCOGBEG,,<class 'numpy.float64'>,,"2025.0, 1980.0",2568.0,3415.0,ADNI1,True,,,
Participant Demographics,PTDEMOG,Diagnosi,PTADDX,DX_YYYY,,<class 'numpy.float64'>,,"2025.0, 1980.0",523.0,5460.0,"ADNI1, ADNIGO",True,predittore,,
Participant Demographic Information,PTDEMOG,,,AGE,,<class 'numpy.float64'>,,"104.0, 50.0",5978.0,5.0,,False,,,
Participant Demographic Information,PTDEMOG,,,AGE,,,,,,,,,,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,,<class 'numpy.float64'>,,"226.0, 0.0",5980.0,3.0,,False,,,
Participant Demographic Information,PTDEMOG,,,AGE,,,,,,,,,,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,,,,,,,,,,,
Mini Mental State Exam,MMSE,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 022_S_0001, 011_S_0003, 022_S_0004, 011_S_0005",,14335.0,0.0,,False,predittore,,
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,14335.0,0.0,,False,cofattore,,
Mini Mental State Exam,MMSE,ID,RID,RID,,<class 'numpy.int64'>,,"10898.0, 1.0",14335.0,0.0,,False,,,
Mini Mental State Exam,MMSE,Visit,VISDATE,VISDATE,,<class 'datetime.date'>,,,14332.0,3.0,,False,,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,,<class 'numpy.float64'>,,"30.0, -1.0",14335.0,0.0,,False,,scala,
Mini Mental State Exam,MMSE,,,VISIT_MONTH,,<class 'numpy.float64'>,,"232.0, 0.0",14332.0,3.0,,False,,,
Mini Mental State Exam,MMSE,,,VISIT_MONTH,,,,,,,,,,,
Diagnostic Summary,DXSUM,ID,PTID,PTID,,<class 'str'>,"011_S_0002, 011_S_0005, 011_S_0008, 100_S_0015, 023_S_0030",None,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,predittore,,
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,,<class 'str'>,ADNI1,None,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,,,
Diagnostic Summary,DXSUM,ID,RID,RID,,<class 'numpy.int64'>,None,"1427.0, 2.0",2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,,,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,None,None,2750.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,,,
Diagnostic Summary,DXSUM,Other,DXNORM,DXNORM,,<class 'numpy.float64'>,"1.0, nan","1.0, 1.0",1129.0,1621.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore,,
Diagnostic Summary,DXSUM,Other,DXNODEP,DXNODEP,,<class 'numpy.float64'>,"nan, 1.0","1.0, 1.0",84.0,2666.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore,,
Diagnostic Summary,DXSUM,Other,DXMCI,DXMCI,,<class 'numpy.float64'>,"nan, 1.0","1.0, 1.0",1600.0,1150.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore,,
Diagnostic Summary,DXSUM,Other,DXMDES,DXMDES,,<class 'str'>,"nan, 1, 2, 1|02",None,1600.0,1150.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore,,
Diagnostic Summary,DXSUM,Other,DXMPTR1,DXMPTR1,,<class 'numpy.float64'>,"nan, 1.0, 0.0","1.0, 0.0",1591.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore,,
